step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,cluster_11187974841_11245328371_11245328374_11494414328_#8more_stopped,cluster_11187974841_11245328371_11245328374_11494414328_#8more_accumulated_waiting_time,cluster_11187974841_11245328371_11245328374_11494414328_#8more_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,1,0.0,0.0,4.010151633241913,0,0.0,0.33268724030356245,0,0.0
10.0,1,0.0,0.0,10.586568213772264,1,0.0,0.2551184324647144,1,0.0
15.0,1,3.0,0.2727272727272727,11.049697435799155,1,3.0,0.29744616433018634,1,3.0
20.0,2,13.0,1.0833333333333333,13.487407027894223,2,13.0,0.27509187383031786,2,13.0
25.0,0,0.0,0.0,11.467631297975943,0,0.0,0.3132543283092874,0,0.0
30.0,1,4.0,0.19047619047619047,13.90735147012775,1,4.0,0.28333740245177,1,4.0
35.0,3,12.0,0.48,12.342943520025567,2,12.0,0.27659671637190764,2,12.0
40.0,3,8.0,0.32,13.50947127451396,1,5.0,0.5471121313647174,1,5.0
45.0,3,18.0,0.6428571428571429,13.983659766506987,2,15.0,0.4211839530551607,2,15.0
50.0,4,36.0,1.2413793103448276,13.626330456828946,3,29.0,0.32824612021432814,3,29.0
55.0,5,60.0,2.0,14.081304083060523,4,48.0,0.3525048691549897,4,48.0
60.0,4,17.0,0.53125,12.256767615454999,1,12.0,0.4073674599593892,1,12.0
65.0,5,34.0,0.9714285714285714,11.962212859273802,1,3.0,0.4641724445648966,1,3.0
70.0,7,60.0,1.7647058823529411,12.49755283645233,1,6.0,0.4734576300159659,1,6.0
75.0,7,83.0,2.1842105263157894,10.272057892581369,1,5.0,0.31652931281306856,1,5.0
80.0,9,89.0,2.1707317073170733,9.921594883795025,3,11.0,0.3071404945637631,3,11.0
85.0,6,14.0,0.3181818181818182,10.51331783482104,3,43.0,0.29325543937595844,3,43.0
90.0,9,30.0,0.6521739130434783,10.398746243875872,6,26.0,0.26673627123871296,6,26.0
95.0,11,66.0,1.375,10.311100399539628,11,69.0,0.18319336655918467,11,69.0
100.0,10,43.0,0.86,11.228759498075584,8,78.0,0.21374927124935816,8,78.0
105.0,6,29.0,0.5918367346938775,11.019236708402573,6,78.0,0.25690566047993085,6,78.0
110.0,6,36.0,0.7346938775510204,11.666314302549765,6,69.0,0.31042191898182453,6,69.0
115.0,10,68.0,1.4166666666666667,11.71422716447915,7,83.0,0.24491840344870075,7,83.0
120.0,6,25.0,0.5681818181818182,12.802132091306413,1,53.0,0.34621603259067135,1,53.0
125.0,9,54.0,1.2272727272727273,11.78061936794765,3,14.0,0.28242154161513233,3,14.0
130.0,12,83.0,1.7291666666666667,9.980492780202285,3,17.0,0.13769396795434866,3,17.0
135.0,15,147.0,3.0,9.993960623209087,7,41.0,0.11195486102070647,7,41.0
140.0,16,224.0,4.666666666666667,10.377098226392713,7,74.0,0.17362841292374032,7,74.0
145.0,9,199.0,4.061224489795919,10.98248761659867,0,30.0,0.3192548425061375,0,30.0
150.0,15,257.0,5.354166666666667,11.52935049900911,4,26.0,0.39916823273303126,4,26.0
155.0,11,192.0,4.0,9.992426708255628,4,44.0,0.27038214099059066,4,44.0
160.0,6,58.0,1.183673469387755,9.907769709913925,3,93.0,0.2609572561593387,3,93.0
165.0,6,31.0,0.6458333333333334,9.250715766933721,4,87.0,0.3408342224526602,4,87.0
170.0,12,76.0,1.52,9.614420754067432,6,111.0,0.32727686357145247,6,111.0
175.0,16,143.0,2.75,9.821047677020175,6,141.0,0.31629574268514815,6,141.0
180.0,16,163.0,3.196078431372549,10.32225336614869,3,100.0,0.32984654979343697,3,100.0
185.0,14,159.0,3.0576923076923075,11.783937741355835,2,84.0,0.4193101016095735,2,84.0
190.0,15,136.0,2.6153846153846154,11.214217860097923,5,92.0,0.33807673976110053,5,92.0
195.0,11,93.0,1.7222222222222223,9.978618747478205,6,53.0,0.29325225226549384,6,53.0
200.0,6,8.0,0.14035087719298245,10.036673118865707,5,93.0,0.22422639998261412,5,93.0
205.0,8,24.0,0.42105263157894735,10.151230388865638,7,96.0,0.24060852350236192,7,96.0
210.0,9,60.0,1.1111111111111112,10.289157843377048,6,119.0,0.24075661005245033,6,119.0
215.0,6,21.0,0.38181818181818183,10.41671276937793,2,29.0,0.20767080784346112,2,29.0
220.0,10,35.0,0.603448275862069,10.992522357603818,6,28.0,0.1470318126026533,6,28.0
225.0,13,81.0,1.3728813559322033,11.497182588914592,9,133.0,0.16630629990664664,9,133.0
230.0,13,54.0,0.9,10.103078178153348,8,140.0,0.21053753492682575,8,140.0
235.0,15,74.0,1.2333333333333334,10.254442271389003,6,141.0,0.28076825335023087,6,141.0
240.0,10,32.0,0.5161290322580645,10.058934607313912,3,144.0,0.28969295606528206,3,144.0
245.0,9,30.0,0.5,10.898724435005382,5,186.0,0.28125193190213177,5,186.0
250.0,4,6.0,0.10344827586206896,10.869643138989376,3,188.0,0.28566909123964224,3,188.0
255.0,10,37.0,0.6166666666666667,11.064197846044634,5,181.0,0.36385778355503234,5,181.0
