step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,cluster_11187974841_11245328371_11245328374_11494414328_#8more_stopped,cluster_11187974841_11245328371_11245328374_11494414328_#8more_accumulated_waiting_time,cluster_11187974841_11245328371_11245328374_11494414328_#8more_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,1,0.0,0.0,2.9120431526098405,0,0.0,0.28103053274022755,0,0.0
10.0,1,0.0,0.0,7.7876305452090495,1,0.0,0.27805031254690055,1,0.0
15.0,2,3.0,0.25,11.09939409039175,2,3.0,0.3388718562783183,2,3.0
20.0,4,14.0,1.0,8.997154692014563,4,15.0,0.18808997986919582,4,15.0
25.0,4,34.0,1.8888888888888888,10.562949020538085,4,35.0,0.20945498465827325,4,35.0
30.0,4,54.0,2.8421052631578947,13.670365267898486,4,55.0,0.21812822828573886,4,55.0
35.0,2,0.0,0.0,13.316220769876615,1,29.0,0.3482193805365394,1,29.0
40.0,2,1.0,0.038461538461538464,12.734417510039396,1,1.0,0.45326971701931557,1,1.0
45.0,3,2.0,0.06666666666666667,12.749642456326749,2,3.0,0.2865265329706349,2,3.0
50.0,4,19.0,0.76,13.916794462995222,4,19.0,0.3776854319469535,4,19.0
55.0,1,8.0,0.3076923076923077,14.628953382769764,1,15.0,0.4269120388412374,1,15.0
60.0,3,3.0,0.0967741935483871,14.435932665105403,1,2.0,0.3979564511185448,1,2.0
65.0,1,0.0,0.0,15.353285972944985,1,0.0,0.4961585880719771,1,0.0
70.0,3,14.0,0.4117647058823529,13.450289374636316,2,9.0,0.4063176320826217,2,9.0
75.0,7,39.0,1.0833333333333333,13.225968064215245,4,25.0,0.41245338085610206,4,25.0
80.0,7,33.0,0.8918918918918919,11.989095727308447,3,13.0,0.3119889427450932,3,13.0
85.0,11,71.0,1.7317073170731707,10.178309816408126,4,13.0,0.19558564988243402,4,13.0
90.0,14,81.0,1.7234042553191489,10.188132080579836,7,41.0,0.22160101761625692,7,41.0
95.0,9,74.0,1.6818181818181819,10.452862819014571,9,93.0,0.2036206623637098,9,93.0
100.0,11,122.0,2.772727272727273,11.081128113881634,10,138.0,0.21008242993992174,10,138.0
105.0,12,70.0,1.4893617021276595,9.415957345827373,9,120.0,0.1996409617035466,9,120.0
110.0,15,104.0,2.1666666666666665,10.669786805911336,9,107.0,0.23118122547324713,9,107.0
115.0,10,65.0,1.3829787234042554,10.68481769877527,4,83.0,0.24001643203327508,4,83.0
120.0,8,37.0,0.7708333333333334,10.778133700213118,6,108.0,0.140421237238095,6,108.0
125.0,12,70.0,1.4285714285714286,10.491934798471302,8,151.0,0.14998133807787614,8,151.0
130.0,11,57.0,1.2666666666666666,9.41039097800671,4,114.0,0.18781524045404027,4,114.0
135.0,13,76.0,1.6888888888888889,8.545900616203713,6,79.0,0.2125948818381474,6,79.0
140.0,9,53.0,1.1041666666666667,8.950431688126057,3,85.0,0.1895294633247507,3,85.0
145.0,11,104.0,2.2127659574468086,10.307522735461845,4,125.0,0.29478770952067185,4,125.0
150.0,12,159.0,3.2448979591836733,10.862487144047194,4,131.0,0.3752146055779072,4,131.0
155.0,11,117.0,2.34,11.103600366006047,2,81.0,0.364876244639032,2,81.0
160.0,8,55.0,1.1224489795918366,11.647606402396178,4,71.0,0.34879972200366177,4,71.0
165.0,4,15.0,0.3,10.607613859781766,2,48.0,0.37474234434034975,2,48.0
170.0,14,42.0,0.8571428571428571,9.347601959549623,5,58.0,0.2631935137351632,5,58.0
175.0,8,28.0,0.56,8.540382068174274,2,98.0,0.20293464221292096,2,98.0
180.0,9,31.0,0.5961538461538461,9.793671083093766,8,86.0,0.21412195713562215,8,86.0
185.0,13,50.0,0.9803921568627451,10.45269947751118,6,101.0,0.29503843559539283,6,101.0
190.0,13,75.0,1.5625,11.227671330341346,3,63.0,0.45272007074244475,3,63.0
195.0,15,101.0,2.02,11.192560023005747,3,64.0,0.4760574721735128,3,64.0
