step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,cluster_11187974841_11245328371_11245328374_11494414328_#8more_stopped,cluster_11187974841_11245328371_11245328374_11494414328_#8more_accumulated_waiting_time,cluster_11187974841_11245328371_11245328374_11494414328_#8more_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,1,0.0,0.0,7.506117642635945,0,0.0,0.6996551380640821,0,0.0
10.0,1,0.0,0.0,12.162173456394145,1,0.0,0.365753912681281,1,0.0
15.0,2,2.0,0.18181818181818182,12.056378465101984,2,2.0,0.3037424983788124,2,2.0
20.0,3,12.0,0.8571428571428571,9.202328659925389,3,12.0,0.18274912518940942,3,12.0
25.0,4,32.0,1.7777777777777777,9.42750126494284,4,32.0,0.2509281310436377,4,32.0
30.0,2,3.0,0.15,11.770662687242254,2,21.0,0.20614187072354437,2,21.0
35.0,2,8.0,0.3076923076923077,12.587907080285174,1,9.0,0.3529468898737697,1,9.0
40.0,4,6.0,0.2222222222222222,13.457558541012302,2,8.0,0.4138633152903812,2,8.0
45.0,4,18.0,0.6206896551724138,13.522664256823175,2,18.0,0.41916613355627375,2,18.0
50.0,3,11.0,0.36666666666666664,14.324631946924159,1,3.0,0.36052752588506953,1,3.0
55.0,3,22.0,0.6666666666666666,14.003650455828184,1,1.0,0.36718701970378587,1,1.0
60.0,7,39.0,1.1818181818181819,12.967374452242117,2,8.0,0.4206175022504811,2,8.0
65.0,6,57.0,1.7272727272727273,14.66766810655476,1,2.0,0.7188997283700698,1,2.0
70.0,7,89.0,2.5428571428571427,12.820918108150849,1,5.0,0.5232329971941484,1,5.0
75.0,10,129.0,3.4864864864864864,9.123790709556346,2,11.0,0.3554359715014462,2,11.0
80.0,9,90.0,2.3684210526315788,9.298101412374853,2,1.0,0.3218966218819425,2,1.0
85.0,8,39.0,0.9512195121951219,9.383770047951588,4,17.0,0.2577115814384244,4,17.0
90.0,1,0.0,0.0,9.82398755430443,0,72.0,0.254000698959944,0,72.0
95.0,3,9.0,0.20454545454545456,11.557243998336396,3,104.0,0.29357899225113443,3,104.0
100.0,7,35.0,0.7291666666666666,12.242276169912857,4,122.0,0.38461829247762463,4,122.0
105.0,8,35.0,0.7,12.818626773026473,2,61.0,0.39276979030167813,2,61.0
110.0,9,37.0,0.7551020408163265,12.066360955595627,6,51.0,0.29381454847324223,6,51.0
115.0,4,13.0,0.2653061224489796,13.102363728381738,3,33.0,0.3138662620205521,3,33.0
120.0,2,7.0,0.15217391304347827,12.055342079094734,2,36.0,0.19660998603624366,2,36.0
125.0,1,5.0,0.11363636363636363,11.262007092804494,0,55.0,0.2195257632518975,0,55.0
130.0,5,21.0,0.5,11.556558734370707,3,20.0,0.20107008915192048,3,20.0
135.0,6,13.0,0.325,10.80456967658165,5,39.0,0.11891010384518268,5,39.0
140.0,7,31.0,0.7560975609756098,11.052170269843145,3,47.0,0.1824877718335492,3,47.0
145.0,9,69.0,1.6046511627906976,12.792245720479897,3,55.0,0.27917991345100585,3,55.0
150.0,10,119.0,2.7674418604651163,13.489522576938914,3,70.0,0.4297464227598885,3,70.0
155.0,9,85.0,1.8888888888888888,12.431673564793888,2,48.0,0.3881412456261988,2,48.0
160.0,11,132.0,2.933333333333333,12.471217083260838,3,7.0,0.33850408163255535,3,7.0
165.0,10,167.0,3.7111111111111112,11.052678224548831,1,6.0,0.38154347048011517,1,6.0
170.0,14,226.0,5.022222222222222,11.917447383888776,3,15.0,0.47421691781797115,3,15.0
175.0,14,291.0,6.191489361702128,11.271032647729646,3,30.0,0.2862435170437874,3,30.0
180.0,12,325.0,7.386363636363637,11.526813517301346,2,16.0,0.343653589171416,2,16.0
185.0,13,364.0,8.088888888888889,12.116863546586362,1,0.0,0.4091079861881411,1,0.0
190.0,16,426.0,9.063829787234043,10.962439281966471,4,7.0,0.3465435507911515,4,7.0
195.0,21,502.0,9.653846153846153,9.22953271347736,7,26.0,0.2832217933416307,7,26.0
200.0,15,308.0,5.5,9.229666575616806,5,37.0,0.2609208812586906,5,37.0
205.0,13,110.0,1.9298245614035088,8.896420251240272,6,107.0,0.2838198701578365,6,107.0
210.0,10,41.0,0.7192982456140351,9.764306641551029,4,103.0,0.23225945529560807,4,103.0
215.0,16,78.0,1.3220338983050848,9.175608527585965,7,45.0,0.09959705917322223,7,45.0
220.0,27,177.0,2.8548387096774195,8.864666730484474,12,96.0,0.13161585672538118,12,96.0
225.0,23,187.0,2.921875,9.399926483100991,8,130.0,0.1932872525987438,8,130.0
230.0,27,271.0,4.1692307692307695,9.072810154246323,9,128.0,0.24995143477830162,9,128.0
235.0,19,314.0,4.984126984126984,8.603339443717573,3,110.0,0.3160011835819928,3,110.0
240.0,23,404.0,6.029850746268656,9.498980185365342,4,108.0,0.32118303954675737,4,108.0
245.0,21,484.0,7.446153846153846,9.629668004506833,3,70.0,0.31853990944606203,3,70.0
250.0,20,492.0,7.454545454545454,10.444132806317626,1,45.0,0.42955237409894514,1,45.0
255.0,16,350.0,5.384615384615385,9.39425837193693,2,150.0,0.3225180892036788,2,150.0
260.0,19,273.0,4.074626865671642,9.131143622680147,5,58.0,0.2965797270309975,5,58.0
265.0,22,169.0,2.5223880597014925,8.289857053125914,10,97.0,0.21528157250771007,10,97.0
270.0,26,215.0,3.208955223880597,8.218741855507115,12,142.0,0.14059430104867723,12,142.0
275.0,31,341.0,5.08955223880597,7.550104308456289,16,206.0,0.08249086306076636,16,206.0
280.0,26,324.0,4.764705882352941,8.237662841579874,7,188.0,0.15548709106634037,7,188.0
285.0,20,220.0,3.235294117647059,9.421379983951494,4,344.0,0.22712743468689464,4,344.0
290.0,18,167.0,2.5303030303030303,9.227312707209627,3,192.0,0.2546172478304647,3,192.0
295.0,21,171.0,2.514705882352941,8.1656133867662,8,90.0,0.20093607260640312,8,90.0
300.0,22,140.0,2.028985507246377,8.132776138010332,6,75.0,0.22497648590595049,6,75.0
305.0,18,143.0,2.1343283582089554,9.438544179514334,5,34.0,0.3472317450224118,5,34.0
310.0,18,179.0,2.712121212121212,9.518691113046257,0,15.0,0.3411497514798852,0,15.0
315.0,24,278.0,4.149253731343284,10.542855802238012,5,27.0,0.4031969467910933,5,27.0
320.0,28,410.0,6.029411764705882,10.883648005171553,8,59.0,0.32361891435077467,8,59.0
325.0,34,558.0,8.08695652173913,10.047367407433901,12,106.0,0.25718327424752546,12,106.0
330.0,36,725.0,10.661764705882353,8.960717207877984,15,168.0,0.24578326516892102,15,168.0
335.0,37,901.0,12.690140845070422,8.854657571955727,15,238.0,0.2054028634931341,15,238.0
340.0,31,876.0,12.882352941176471,7.732741385764024,5,195.0,0.23435203238209376,5,195.0
345.0,29,923.0,13.573529411764707,7.240547548322966,1,110.0,0.2943390966351082,1,110.0
350.0,27,748.0,10.840579710144928,6.911186547987179,5,134.0,0.20183438809398177,5,134.0
355.0,29,659.0,9.55072463768116,6.29599926367227,11,170.0,0.20907430129710813,11,170.0
