step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,cluster_11187974841_11245328371_11245328374_11494414328_#8more_stopped,cluster_11187974841_11245328371_11245328374_11494414328_#8more_accumulated_waiting_time,cluster_11187974841_11245328371_11245328374_11494414328_#8more_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,1,0.0,0.0,2.9192784735583697,0,0.0,0.24380321241791353,0,0.0
10.0,1,0.0,0.0,9.185124935235649,1,0.0,0.22975871017375485,1,0.0
15.0,1,0.0,0.0,12.610210585199935,1,0.0,0.4158123072976753,1,0.0
20.0,1,1.0,0.06666666666666667,10.694663574001536,1,1.0,0.2506910959259582,1,1.0
25.0,3,13.0,0.6842105263157895,12.63832179595316,3,13.0,0.288625134859831,3,13.0
30.0,3,28.0,1.5555555555555556,13.930275737984045,3,28.0,0.18540364917468313,3,28.0
35.0,5,47.0,2.1363636363636362,12.743918321108227,4,47.0,0.21368876817093233,4,47.0
40.0,6,67.0,2.7916666666666665,11.357720824762689,4,67.0,0.34238216030136254,4,67.0
45.0,4,8.0,0.3076923076923077,10.731876659518957,1,21.0,0.5209472550638093,1,21.0
50.0,2,18.0,0.6206896551724138,11.700503081043966,0,1.0,0.4010566513397135,0,1.0
55.0,5,35.0,1.206896551724138,13.078958351764122,3,9.0,0.3983694476655735,3,9.0
60.0,7,63.0,1.9090909090909092,11.132760319510794,3,24.0,0.3817123202306912,3,24.0
65.0,10,106.0,2.9444444444444446,12.31459370148419,5,44.0,0.3626755570487247,5,44.0
70.0,11,158.0,4.27027027027027,9.65978145382402,5,69.0,0.3469902140564078,5,69.0
75.0,11,156.0,3.9,8.87040645570881,2,46.0,0.3221123179710745,2,46.0
80.0,12,109.0,2.5952380952380953,7.9409398682634516,5,28.0,0.24177428969480036,5,28.0
85.0,11,38.0,0.8444444444444444,8.900983201511526,5,75.0,0.24548965168676762,5,75.0
90.0,11,50.0,1.0416666666666667,10.531165313762868,6,79.0,0.25614185293348724,6,79.0
95.0,14,108.0,2.297872340425532,10.46974002816818,6,105.0,0.21696860850933658,6,105.0
100.0,19,179.0,3.7291666666666665,10.566448993941586,7,131.0,0.23493697792960694,7,131.0
105.0,12,154.0,3.08,10.662552990414499,1,106.0,0.2900172594622654,1,106.0
