step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,cluster_11187974841_11245328371_11245328374_11494414328_#8more_stopped,cluster_11187974841_11245328371_11245328374_11494414328_#8more_accumulated_waiting_time,cluster_11187974841_11245328371_11245328374_11494414328_#8more_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,1,0.0,0.0,3.1567359741078693,0,0.0,0.2616228456559843,0,0.0
10.0,1,0.0,0.0,8.018814369238681,1,0.0,0.25042941098915505,1,0.0
15.0,1,2.0,0.18181818181818182,10.757018121833834,1,2.0,0.2844944256038144,1,2.0
20.0,3,13.0,1.0,9.97932267783209,3,13.0,0.25929573308422244,3,13.0
25.0,0,0.0,0.0,10.49186457855552,0,0.0,0.3274912407345636,0,0.0
30.0,2,2.0,0.09523809523809523,13.067295711711298,1,0.0,0.1723541255054386,1,0.0
35.0,1,0.0,0.0,13.840413044882723,0,0.0,0.35179477895443606,0,0.0
40.0,3,1.0,0.038461538461538464,13.365378486318361,1,1.0,0.3560355408066794,1,1.0
45.0,5,14.0,0.5,13.688699861473811,2,11.0,0.4633740336112638,2,11.0
50.0,3,24.0,0.9230769230769231,15.128760144461639,1,5.0,0.661543777818263,1,5.0
55.0,2,13.0,0.48148148148148145,14.139095505430513,0,7.0,0.5998294963631181,0,7.0
60.0,6,21.0,0.6363636363636364,10.386511717253727,2,11.0,0.2981971124942213,2,11.0
65.0,8,53.0,1.606060606060606,10.266291689331217,4,25.0,0.2854600579499375,4,25.0
70.0,6,58.0,1.5675675675675675,10.289210358799586,1,8.0,0.3949868984670946,1,8.0
75.0,8,61.0,1.525,10.816406524562508,2,6.0,0.4535778160852187,2,6.0
80.0,2,2.0,0.04878048780487805,11.12651451672439,1,30.0,0.3724019458285672,1,30.0
85.0,5,14.0,0.3111111111111111,9.573154788429733,2,69.0,0.20627520165636115,2,69.0
90.0,6,23.0,0.4791666666666667,9.829494090865447,4,102.0,0.20755442561493795,4,102.0
95.0,4,15.0,0.30612244897959184,10.43238846503353,1,48.0,0.24458656559073752,1,48.0
100.0,9,17.0,0.3333333333333333,10.445350994197193,8,36.0,0.1929641769822352,8,36.0
105.0,10,60.0,1.2244897959183674,11.34182336064289,10,76.0,0.22742646303546613,10,76.0
110.0,9,43.0,0.86,11.643623295024451,8,91.0,0.2491091844097312,8,91.0
115.0,9,43.0,0.8775510204081632,12.717219428709216,6,76.0,0.27218544019003843,6,76.0
120.0,10,64.0,1.5238095238095237,10.739532219929092,3,51.0,0.18946357327283234,3,51.0
125.0,13,78.0,1.8571428571428572,9.945407249914993,3,48.0,0.1260599809382638,3,48.0
130.0,5,19.0,0.4523809523809524,10.167215928854503,2,66.0,0.17863702692670544,2,66.0
135.0,9,29.0,0.6904761904761905,9.037463816986477,6,75.0,0.2199287773704162,6,75.0
140.0,9,37.0,0.8222222222222222,9.20428918045682,1,22.0,0.2071711486743851,1,22.0
145.0,14,89.0,1.816326530612245,9.445268187929981,5,24.0,0.22358850431564894,5,24.0
150.0,15,138.0,2.7058823529411766,9.814790064826784,6,50.0,0.21997344508850447,6,50.0
155.0,15,191.0,3.673076923076923,9.92810780500548,5,59.0,0.24896281126601688,5,59.0
160.0,14,260.0,4.90566037735849,10.850166630150246,4,72.0,0.28905123626475465,4,72.0
165.0,14,275.0,5.0,10.50678441275107,3,57.0,0.29787534712325764,3,57.0
170.0,20,358.0,6.62962962962963,9.523716407038524,7,55.0,0.2479783290787165,7,55.0
175.0,15,205.0,3.7962962962962963,8.757022583734566,5,118.0,0.2883792788389042,5,118.0
180.0,10,54.0,1.0188679245283019,9.162264638830093,7,119.0,0.23067458773797275,7,119.0
185.0,10,48.0,0.8888888888888888,9.432436520649109,4,133.0,0.25665156481631934,4,133.0
190.0,16,61.0,1.1296296296296295,9.792717535023746,9,150.0,0.24407999786370746,9,150.0
195.0,17,103.0,1.9433962264150944,8.731827457550084,12,138.0,0.2281053829936791,12,138.0
200.0,18,152.0,2.6666666666666665,9.23483084014093,13,258.0,0.1906128450532836,13,258.0
205.0,11,95.0,1.6666666666666667,9.138774439430218,8,230.0,0.19482996662511207,8,230.0
210.0,12,84.0,1.5,9.680775065355297,6,147.0,0.19810423827822848,6,147.0
215.0,12,50.0,0.8928571428571429,9.86448055121439,2,54.0,0.17820212729771062,2,54.0
220.0,16,95.0,1.6666666666666667,8.845446406407678,3,52.0,0.14674739704394785,3,52.0
225.0,18,154.0,2.566666666666667,9.362908443101235,3,67.0,0.22715503821522387,3,67.0
230.0,26,261.0,4.209677419354839,8.53942620548781,6,101.0,0.2244061364673174,6,101.0
235.0,18,303.0,4.809523809523809,8.501429363229864,2,79.0,0.3066467307838114,2,79.0
240.0,19,317.0,4.731343283582089,9.48801055314672,5,91.0,0.28328091254667503,5,91.0
245.0,20,263.0,3.984848484848485,10.846548561910723,10,215.0,0.30210959109034735,10,215.0
250.0,15,142.0,2.1846153846153844,10.51775169357782,8,298.0,0.26229222336643226,8,298.0
255.0,9,41.0,0.640625,9.433246177290775,3,270.0,0.3296854575870326,3,270.0
260.0,11,53.0,0.8153846153846154,8.94354110775077,5,300.0,0.26243382380271957,5,300.0
265.0,20,109.0,1.6515151515151516,7.503540552903517,10,339.0,0.17209027289602702,10,339.0
270.0,22,156.0,2.4375,7.202882099206706,9,259.0,0.1743756524399711,9,259.0
275.0,24,221.0,3.564516129032258,6.430149698759958,7,194.0,0.13856414476403509,7,194.0
280.0,25,329.0,5.061538461538461,8.227570238048688,6,186.0,0.21557595264790982,6,186.0
285.0,28,452.0,6.953846153846154,8.624324537122385,5,203.0,0.21132976112933832,5,203.0
290.0,23,462.0,6.794117647058823,9.618449648538679,1,194.0,0.20126727013265258,1,194.0
295.0,24,533.0,8.075757575757576,10.533409789764049,5,21.0,0.2587504693025344,5,21.0
300.0,20,520.0,8.0,10.674996463667355,2,164.0,0.37392648636818565,2,164.0
305.0,19,391.0,5.924242424242424,10.177614489403938,6,192.0,0.2779970190567217,6,192.0
310.0,19,282.0,4.208955223880597,10.202501811723392,5,214.0,0.33586293411941537,5,214.0
315.0,20,224.0,3.5555555555555554,9.790234435180171,5,238.0,0.4326834151165043,5,238.0
320.0,17,159.0,2.484375,10.146418240704023,2,176.0,0.4378251706882967,2,176.0
325.0,15,105.0,1.640625,9.757316732140817,3,144.0,0.3986067276475669,3,144.0
330.0,21,110.0,1.6176470588235294,10.128432949634114,10,57.0,0.2876946475569742,10,57.0
335.0,26,170.0,2.6153846153846154,8.87239120506329,13,94.0,0.2082371973000739,13,94.0
340.0,19,103.0,1.5147058823529411,8.551612142053884,5,84.0,0.19145275186423077,5,84.0
345.0,19,129.0,1.8695652173913044,8.418522488394999,2,30.0,0.22615356749012314,2,30.0
350.0,23,177.0,2.492957746478873,8.525918636541826,6,24.0,0.22526450089643474,6,24.0
355.0,28,266.0,3.8,8.330816117641767,12,67.0,0.18468432534014245,12,67.0
360.0,20,190.0,2.96875,9.034989556932452,5,198.0,0.2091257472992111,5,198.0
365.0,17,156.0,2.4761904761904763,9.292128903929552,6,320.0,0.2911281698786222,6,320.0
370.0,16,158.0,2.46875,10.132771867741504,6,336.0,0.2900228437378334,6,336.0
375.0,17,164.0,2.6451612903225805,10.102003802273904,7,365.0,0.29022438658223976,7,365.0
380.0,12,72.0,1.1428571428571428,9.55633693206074,0,344.0,0.35529561393958636,0,344.0
385.0,10,50.0,0.7936507936507936,9.900666437515232,2,165.0,0.3372222321619942,2,165.0
390.0,13,57.0,0.9661016949152542,8.817068650967078,5,143.0,0.2829179466861207,5,143.0
395.0,11,46.0,0.8070175438596491,7.982969146578536,3,135.0,0.22446538400118513,3,135.0
400.0,15,68.0,1.152542372881356,9.01135878073873,4,148.0,0.2472598174364334,4,148.0
405.0,14,81.0,1.4210526315789473,8.976989178257185,2,17.0,0.33132810427806125,2,17.0
410.0,16,132.0,2.2,9.810829130170822,3,13.0,0.4829611346276467,3,13.0
415.0,17,164.0,2.8275862068965516,9.35582506122346,4,22.0,0.3884820316731743,4,22.0
420.0,16,141.0,2.473684210526316,8.20516384378917,4,33.0,0.31587608377974685,4,33.0
425.0,17,148.0,2.642857142857143,9.038254479836587,5,187.0,0.33047392369482365,5,187.0
430.0,13,92.0,1.5862068965517242,8.356457455614953,1,162.0,0.3569502494123133,1,162.0
435.0,15,103.0,1.8070175438596492,9.513977556567932,4,151.0,0.3918301101044101,4,151.0
440.0,15,89.0,1.5614035087719298,8.355274875752626,3,12.0,0.2298463670746293,3,12.0
445.0,16,138.0,2.3,8.164321407208044,5,29.0,0.11008507923828664,5,29.0
450.0,19,180.0,3.0,7.365869431916573,2,9.0,0.05264214890640519,2,9.0
