Step,Total_Wait,Ambulance_Wait,CO2,Queue
2520,445.0,23.0,239.3182677955052,35
2530,613.0,21.0,302.63686807842186,38
2540,471.0,31.0,322.8100754480055,29
2550,423.0,10.0,380.5356283955122,28
2560,739.0,20.0,379.12415919370284,36
2570,1104.0,30.0,333.6348876608934,39
2580,1218.0,40.0,341.48947366185706,34
2590,1599.0,52.0,393.621944281579,45
2600,2047.0,72.0,284.1406581040557,50
2610,2097.0,70.0,337.5286749517257,31
2620,2400.0,80.0,277.67528884910996,36
2630,1989.0,90.0,260.75606075101217,33
2640,1375.0,0.0,274.9490726696274,25
2650,547.0,0.0,234.63317790833207,17
2660,158.0,0.0,329.9745207687714,17
2670,283.0,10.0,246.13159252889025,26
2680,475.0,20.0,265.6367316794984,32
2690,760.0,41.0,279.29662442729483,44
2700,1083.0,81.0,366.8591964287608,39
2710,1465.0,121.0,428.3545585409005,41
2720,1852.0,161.0,346.676357705395,40
2730,1479.0,121.0,360.1222797867529,36
2740,1155.0,71.0,449.0891184905982,37
2750,949.0,97.0,459.87583077757654,37
2760,362.0,16.0,471.79758126648875,29
2770,607.0,26.0,336.1091969869923,34
2780,968.0,46.0,436.8300199452018,38
2790,1365.0,66.0,367.2785974905287,41
2800,1537.0,86.0,338.2424940176881,39
2810,1230.0,111.0,402.91836759013023,34
2820,1002.0,65.0,414.5781244593918,32
2830,612.0,95.0,391.2571716071314,26
2840,122.0,0.0,371.3170462747586,19
2850,211.0,10.0,389.10723856015693,23
2860,257.0,23.0,474.545657006104,26
2870,266.0,25.0,329.66710921472065,27
2880,359.0,61.0,309.16612045019815,27
2890,84.0,0.0,283.0227452433509,9
2900,133.0,5.0,273.5134581860679,17
2910,208.0,11.0,275.35710750691266,29
2920,417.0,41.0,419.92290271388987,32
2930,245.0,24.0,249.29522301821504,29
2940,294.0,0.0,277.5012075842577,26
2950,291.0,8.0,272.4031712818849,27
2960,216.0,28.0,285.6691591329412,24
2970,303.0,20.0,275.5218373261632,32
2980,232.0,14.0,279.0289217777129,23
2990,435.0,18.0,323.5600554420323,28
3000,526.0,28.0,327.2545692535444,33
3010,859.0,48.0,286.65336857111015,39
3020,669.0,20.0,274.3250459788014,36
3030,640.0,36.0,330.9467813009722,33
3040,601.0,16.0,365.740823097591,31
3050,529.0,26.0,376.66871259219647,39
3060,732.0,41.0,293.25250204515265,43
3070,1178.0,61.0,457.2321014644259,51
3080,1377.0,81.0,361.0878631720049,44
3090,1755.0,113.0,273.19809912660315,45
3100,2189.0,153.0,345.331337344118,46
3110,2646.0,193.0,485.2047793602902,49
3120,3133.0,233.0,373.04828549076433,52
3130,3023.0,225.0,342.98094415599905,44
3140,2698.0,201.0,366.2623883363472,33
3150,2001.0,96.0,355.3342651517185,36
3160,1483.0,116.0,258.53180441900594,41
3170,796.0,29.0,216.5840520970848,40
3180,558.0,33.0,309.2922144398695,31
3190,911.0,53.0,336.59633860482666,38
3200,1291.0,73.0,322.3240048016148,39
3210,1625.0,93.0,318.6010817515532,44
3220,1835.0,113.0,398.7357235125543,45
3230,1478.0,59.0,320.8707391332242,39
3240,975.0,69.0,387.64998056002656,29
3250,738.0,89.0,424.43678270996685,28
3260,528.0,27.0,338.227292216517,32
3270,911.0,47.0,429.80613087485796,45
3280,1103.0,82.0,409.74699779823925,41
3290,1269.0,99.0,344.62404427557533,40
3300,1404.0,73.0,322.1595081142533,44
3310,967.0,71.0,463.0648857812848,33
3320,700.0,90.0,433.6463290444025,30
3330,245.0,28.0,313.20417259339587,22
3340,274.0,21.0,434.1844634953199,32
3350,415.0,37.0,313.3710504807719,36
3360,158.0,5.0,288.2675191776257,21
3370,141.0,15.0,336.6096887986274,19
3380,243.0,25.0,397.66169946192406,25
3390,497.0,7.0,485.52817159369766,42
3400,412.0,28.0,439.78699226819197,38
3410,433.0,58.0,388.9401723858826,30
3420,535.0,51.0,218.18812674387377,33
3430,816.0,44.0,310.7205229273093,40
3440,1247.0,70.0,261.896573949349,47
3450,1416.0,100.0,236.78317592893288,46
3460,1432.0,62.0,254.53522189308978,44
3470,1639.0,82.0,295.16513635954783,43
3480,1357.0,102.0,337.26347391771424,41
3490,1225.0,56.0,321.0971154698679,39
3500,564.0,0.0,260.7692784813747,29
3510,184.0,1.0,320.5771254047854,27
3520,360.0,0.0,247.72138936105287,26
3530,633.0,9.0,279.6697082653846,31
3540,982.0,27.0,426.33409349638424,40
3550,1242.0,56.0,383.24084263304627,42
3560,828.0,90.0,286.3126723179005,40
3570,752.0,81.0,285.6572161828155,40
3580,508.0,50.0,319.15340276009186,42
3590,673.0,31.0,323.27560936386874,45
