step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,cluster_11187974841_11245328371_11245328374_11494414328_#8more_stopped,cluster_11187974841_11245328371_11245328374_11494414328_#8more_accumulated_waiting_time,cluster_11187974841_11245328371_11245328374_11494414328_#8more_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,1,0.0,0.0,2.0826734899717847,0,0.0,0.11675542467869816,0,0.0
10.0,1,0.0,0.0,6.08681970358652,1,0.0,0.1068065307157114,1,0.0
15.0,0,0.0,0.0,9.527860781454285,0,0.0,0.2289962215467401,0,0.0
20.0,1,2.0,0.14285714285714285,11.584129585219017,1,2.0,0.26220882795440625,1,2.0
25.0,2,12.0,0.7058823529411765,11.489892358929502,2,12.0,0.23885673372808675,2,12.0
30.0,2,22.0,1.1578947368421053,13.066276853389956,2,22.0,0.3059025640438946,2,22.0
35.0,1,0.0,0.0,12.929772842305155,0,0.0,0.3853882982992204,0,0.0
40.0,5,4.0,0.16666666666666666,12.05268689382526,2,1.0,0.3536783892073469,2,1.0
45.0,4,8.0,0.2857142857142857,10.553488453568933,3,8.0,0.20895709105814966,3,8.0
50.0,4,27.0,1.0384615384615385,11.390339056267923,4,27.0,0.28190224170740097,4,27.0
55.0,1,0.0,0.0,13.700579870548662,0,19.0,0.509248652072885,0,19.0
60.0,5,5.0,0.15625,13.59535321949503,3,4.0,0.3943185914152721,3,4.0
65.0,1,1.0,0.029411764705882353,14.21431441879148,0,4.0,0.36332439359220864,0,4.0
70.0,2,5.0,0.1388888888888889,15.550380083221135,2,6.0,0.4484477087435765,2,6.0
75.0,4,17.0,0.4722222222222222,11.953975700941475,4,18.0,0.3237994592451088,4,18.0
80.0,7,43.0,1.162162162162162,10.045530049170459,6,43.0,0.21611850224169404,6,43.0
85.0,11,89.0,2.282051282051282,9.350433487630879,8,79.0,0.1765100426864623,8,79.0
90.0,12,143.0,3.3255813953488373,10.208404181995943,8,119.0,0.21693056623119347,8,119.0
95.0,4,27.0,0.627906976744186,11.020956128990532,1,43.0,0.2670866499009115,1,43.0
100.0,7,17.0,0.40476190476190477,11.179457897002994,3,37.0,0.2784235185005061,3,37.0
105.0,3,7.0,0.16279069767441862,12.616155210966868,3,46.0,0.2550236928273164,3,46.0
110.0,4,24.0,0.5454545454545454,14.226365410732795,3,50.0,0.29571838743195616,3,50.0
115.0,3,12.0,0.2926829268292683,13.966283213160038,1,2.0,0.30263016183570546,1,2.0
120.0,8,44.0,1.0476190476190477,13.652301150794052,5,23.0,0.2916519555139567,5,23.0
125.0,14,96.0,2.341463414634146,12.286712587888225,7,52.0,0.29345463778987363,7,52.0
130.0,10,86.0,2.263157894736842,9.383415537468512,4,58.0,0.1672825889352966,4,58.0
135.0,12,118.0,2.8780487804878048,8.846104992468636,5,41.0,0.12296947841974774,5,41.0
140.0,12,176.0,4.631578947368421,8.87429750489439,6,55.0,0.18995741472120117,6,55.0
145.0,7,156.0,3.627906976744186,10.161011676577028,1,28.0,0.3215544196220145,1,28.0
150.0,6,33.0,0.7333333333333333,10.932755655945718,3,60.0,0.3187724420555203,3,60.0
155.0,3,26.0,0.5416666666666666,10.79771155707914,3,28.0,0.26197190051536445,3,28.0
160.0,10,62.0,1.2916666666666667,9.842664530808351,6,54.0,0.20860634798460587,6,54.0
165.0,15,115.0,2.3,9.900631751432721,7,81.0,0.25087851337796646,7,81.0
170.0,19,186.0,3.576923076923077,9.229282781725455,9,122.0,0.19451669241555197,9,122.0
175.0,15,162.0,2.892857142857143,10.209745874823488,5,110.0,0.23354639473165173,5,110.0
180.0,14,199.0,3.685185185185185,10.64303754089115,4,66.0,0.2525576171693897,4,66.0
185.0,16,270.0,5.09433962264151,10.995427835196674,4,57.0,0.2787393215053132,4,57.0
190.0,12,273.0,5.25,10.932931644038629,1,25.0,0.33122563123172377,1,25.0
195.0,18,351.0,6.622641509433962,9.32867671545463,6,42.0,0.283923322849703,6,42.0
200.0,12,177.0,3.2777777777777777,8.905526732277728,2,111.0,0.32246877477693964,2,111.0
205.0,10,42.0,0.711864406779661,8.717459940633976,4,103.0,0.30717635008806055,4,103.0
210.0,9,38.0,0.6909090909090909,7.764289695771564,1,21.0,0.23468509010225663,1,21.0
215.0,14,85.0,1.4912280701754386,7.945838447141227,6,36.0,0.11178151893624806,6,36.0
220.0,25,181.0,2.9672131147540983,8.447400427473474,12,90.0,0.10362167391999015,12,90.0
225.0,25,219.0,3.3181818181818183,10.10175236442591,10,98.0,0.16660423763325444,10,98.0
230.0,19,274.0,4.029411764705882,11.07979515748379,5,100.0,0.21329587419788698,5,100.0
235.0,22,367.0,5.242857142857143,11.243897576593168,4,81.0,0.28778033975787853,4,81.0
240.0,23,472.0,7.2615384615384615,10.451086559032234,4,84.0,0.32776627924879037,4,84.0
245.0,21,511.0,7.514705882352941,11.006309609400526,1,68.0,0.3768733159540646,1,68.0
250.0,26,600.0,9.375,10.205598989536128,8,57.0,0.31891738493946153,8,57.0
255.0,22,669.0,10.619047619047619,9.796872989725946,4,47.0,0.355009517122877,4,47.0
260.0,23,763.0,12.716666666666667,7.818815410466218,3,36.0,0.3432459721589639,3,36.0
265.0,24,848.0,13.901639344262295,8.680994850571667,1,28.0,0.35208115558562064,1,28.0
270.0,18,683.0,10.841269841269842,9.757767109142396,3,156.0,0.3828924796092867,3,156.0
275.0,19,511.0,7.742424242424242,8.773841933687509,6,49.0,0.15426476385516633,6,49.0
280.0,16,305.0,4.765625,8.5363320504039,4,38.0,0.20416938496988918,4,38.0
285.0,16,117.0,1.828125,9.104225345985887,5,48.0,0.3325990483087036,5,48.0
290.0,17,126.0,2.0,9.204799583514289,4,43.0,0.3298532923598707,4,43.0
295.0,17,180.0,2.6865671641791047,9.896359708143363,3,35.0,0.2763316341825811,3,35.0
300.0,21,246.0,3.5652173913043477,9.582739601143572,2,30.0,0.2670451868571227,2,30.0
305.0,29,370.0,5.522388059701493,9.021242926916683,6,40.0,0.2911895973105673,6,40.0
310.0,30,510.0,7.391304347826087,8.914388346775569,6,65.0,0.32889927272164543,6,65.0
315.0,23,561.0,8.373134328358208,9.670818856045798,0,25.0,0.560431703131891,0,25.0
320.0,25,661.0,10.661290322580646,9.26197043814392,4,24.0,0.4691822648404144,4,24.0
325.0,27,768.0,12.19047619047619,8.612689916170732,2,25.0,0.4136705086656161,2,25.0
330.0,30,896.0,13.784615384615385,7.831182042745743,6,53.0,0.34096144816685386,6,53.0
335.0,33,1049.0,16.138461538461538,8.56762353125007,5,78.0,0.3597935960232506,5,78.0
340.0,34,1207.0,18.28787878787879,7.883270517798728,5,103.0,0.22320862304043987,5,103.0
345.0,29,1279.0,18.808823529411764,9.209392009060055,1,70.0,0.36635992827203157,1,70.0
