step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,cluster_11187974841_11245328371_11245328374_11494414328_#8more_stopped,cluster_11187974841_11245328371_11245328374_11494414328_#8more_accumulated_waiting_time,cluster_11187974841_11245328371_11245328374_11494414328_#8more_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,1,0.0,0.0,7.198355614655885,0,0.0,0.7803904548295729,0,0.0
10.0,1,0.0,0.0,13.684098794266413,1,0.0,0.34913059105199723,1,0.0
15.0,1,1.0,0.08333333333333333,12.695172790105671,1,1.0,0.33083027286921,1,1.0
20.0,3,9.0,0.5625,12.119171669450385,3,9.0,0.16075442882907617,3,9.0
25.0,4,27.0,1.4210526315789473,11.762668584397632,4,27.0,0.18671291110729463,4,27.0
30.0,5,47.0,2.1363636363636362,12.805798452684307,5,47.0,0.11218605513626728,5,47.0
35.0,4,8.0,0.36363636363636365,8.22075763362041,3,20.0,0.18477249628396303,3,20.0
40.0,4,23.0,0.9583333333333334,11.76934090532597,3,23.0,0.2846968906852298,3,23.0
45.0,6,35.0,1.4583333333333333,11.58329720415878,3,21.0,0.3411517492422061,3,21.0
50.0,2,15.0,0.5172413793103449,13.387813487727637,0,2.0,0.46813834605865556,0,2.0
55.0,3,26.0,0.8387096774193549,14.669380993189035,0,0.0,0.5278227410190596,0,0.0
60.0,8,51.0,1.59375,12.346010737101281,2,6.0,0.2896706101720471,2,6.0
65.0,6,56.0,1.6470588235294117,13.635827779906228,1,0.0,0.514410337759697,1,0.0
70.0,5,77.0,2.026315789473684,12.978947645923883,0,0.0,0.55134695245776,0,0.0
75.0,7,104.0,2.6,10.999905716699347,1,0.0,0.5280286439299811,1,0.0
80.0,11,76.0,1.9,10.031648100306853,4,7.0,0.3150806937780536,4,7.0
85.0,11,53.0,1.2926829268292683,7.522899686476022,8,74.0,0.16752070164101263,8,74.0
90.0,12,89.0,1.9777777777777779,7.482904547258968,11,107.0,0.10452389414743743,11,107.0
95.0,15,146.0,3.2444444444444445,8.544064514442647,14,162.0,0.15142728822107424,14,162.0
100.0,8,77.0,1.75,8.903916011486569,5,161.0,0.24604205736903614,5,161.0
105.0,2,5.0,0.10869565217391304,9.969935206138748,2,129.0,0.31484122233260503,2,129.0
110.0,5,14.0,0.2916666666666667,10.945003702683328,5,158.0,0.26333251963386484,5,158.0
115.0,10,43.0,0.86,11.472409968263735,10,163.0,0.2434591301697109,10,163.0
120.0,11,38.0,0.7916666666666666,9.418271998354774,9,156.0,0.15860582192779196,9,156.0
125.0,14,69.0,1.4680851063829787,9.38736977717632,6,87.0,0.15816031768587732,6,87.0
130.0,12,61.0,1.2448979591836735,9.445673625233956,1,58.0,0.1807647813193456,1,58.0
135.0,6,22.0,0.44,9.946735147086546,4,66.0,0.14108468150505907,4,66.0
140.0,6,12.0,0.24489795918367346,10.493934539633429,5,74.0,0.17940923098808473,5,74.0
145.0,8,30.0,0.5882352941176471,12.022310679444645,5,72.0,0.22292778117394246,5,72.0
150.0,10,39.0,0.6964285714285714,12.421382323333074,3,31.0,0.21725497185411724,3,31.0
155.0,10,52.0,0.9629629629629629,12.422938353420014,4,35.0,0.22977811121295139,4,35.0
160.0,7,19.0,0.37254901960784315,12.075195405388817,5,71.0,0.2552614918803259,5,71.0
165.0,7,31.0,0.6326530612244898,9.870933978386025,3,69.0,0.2751385367434907,3,69.0
170.0,14,84.0,1.7872340425531914,8.940709962619158,6,73.0,0.31600068824381494,6,73.0
175.0,11,95.0,1.9791666666666667,9.333653652973766,4,82.0,0.3154522856259404,4,82.0
180.0,5,16.0,0.3333333333333333,11.272476674690042,2,64.0,0.402315189163847,2,64.0
185.0,12,39.0,0.7647058823529411,11.984948439876687,7,40.0,0.35563338551559803,7,40.0
190.0,10,45.0,0.8653846153846154,11.641441666145491,2,20.0,0.34836211331644035,2,20.0
195.0,15,103.0,1.9807692307692308,11.219286074113297,3,11.0,0.3761819765551632,3,11.0
200.0,16,169.0,2.9649122807017543,9.704544608656384,4,30.0,0.3127852241131476,4,30.0
205.0,17,214.0,3.6271186440677967,10.270718263342452,4,30.0,0.2853534645933686,4,30.0
210.0,19,277.0,4.946428571428571,8.796431506211096,7,31.0,0.18984966263221556,7,31.0
215.0,21,255.0,4.322033898305085,8.968360432855164,11,78.0,0.11203275229996293,11,78.0
220.0,20,239.0,3.7936507936507935,10.282234706599311,14,203.0,0.10184226136408067,14,203.0
225.0,18,223.0,3.596774193548387,10.646387446676561,17,274.0,0.11231677688679777,17,274.0
230.0,12,150.0,2.3076923076923075,11.652805839451482,11,339.0,0.17184860243449954,11,339.0
235.0,6,28.0,0.4444444444444444,11.035706757015234,4,262.0,0.24061322304843685,4,262.0
240.0,10,50.0,0.78125,12.355671421536666,6,245.0,0.32785364407456524,6,245.0
245.0,9,35.0,0.5555555555555556,11.578364213336988,3,122.0,0.3681131940413859,3,122.0
250.0,16,86.0,1.3870967741935485,10.93868986071475,8,146.0,0.2594254045255595,8,146.0
255.0,19,118.0,1.9344262295081966,10.908558648047201,8,116.0,0.25316972167367274,8,116.0
260.0,19,171.0,2.7580645161290325,11.100582428165454,4,62.0,0.2927988660221694,4,62.0
265.0,19,254.0,4.379310344827586,10.164752859040373,3,50.0,0.3692383182206212,3,50.0
270.0,22,355.0,6.69811320754717,9.205937680827788,3,57.0,0.37456475050870774,3,57.0
275.0,22,459.0,8.196428571428571,9.635571981396295,4,72.0,0.3372555781001429,4,72.0
280.0,18,469.0,8.527272727272727,10.459455840516451,0,49.0,0.5414826329632098,0,49.0
285.0,14,416.0,7.428571428571429,10.236828875867843,1,57.0,0.32596553500411174,1,57.0
290.0,16,491.0,8.614035087719298,9.835939007895139,3,30.0,0.2713770585946314,3,30.0
295.0,10,281.0,4.683333333333334,9.594923596447156,2,150.0,0.30259538273569203,2,150.0
300.0,17,165.0,2.75,9.723381664717715,6,173.0,0.3800035894600319,6,173.0
305.0,19,128.0,2.169491525423729,10.017237726155374,7,203.0,0.30498460829200197,7,203.0
310.0,22,206.0,3.377049180327869,10.43163855159737,7,237.0,0.36384124744831076,7,237.0
