Time,Total_Wait,Ambulance_Wait,CO2,Queue
980.0,580.0,20.0,381.01613019346365,29
990.0,861.0,40.0,325.72317836535126,31
1000.0,1139.0,60.0,270.1645928816844,37
1010.0,1395.0,80.0,319.0712255207536,29
1020.0,1426.0,100.0,320.36591378010473,29
1030.0,967.0,120.0,295.4126456824986,23
1040.0,512.0,62.0,354.34946474474043,21
1050.0,215.0,6.0,179.96579121692156,18
1060.0,186.0,17.0,229.49114956327443,24
1070.0,115.0,11.0,286.8088726470807,13
1080.0,79.0,0.0,360.6659369504632,13
1090.0,237.0,5.0,378.9418806715389,21
1100.0,414.0,15.0,306.67430071800703,27
1110.0,699.0,35.0,234.21417197318686,33
1120.0,641.0,55.0,341.7378582183595,26
1130.0,429.0,30.0,269.31380296146887,21
1140.0,277.0,42.0,255.87790131357937,18
1150.0,119.0,9.0,325.1864883373507,17
1160.0,107.0,2.0,266.3307399633733,17
1170.0,64.0,0.0,366.27222354115173,11
1180.0,17.0,0.0,225.56391733353672,5
1190.0,38.0,1.0,250.03080005370145,9
1200.0,29.0,0.0,278.02945881319545,10
1210.0,104.0,5.0,249.57035288994697,17
1220.0,131.0,15.0,274.0374208345265,14
1230.0,189.0,7.0,211.03096733023256,18
1240.0,195.0,22.0,277.4194658231342,22
1250.0,176.0,21.0,319.44804822886664,20
1260.0,294.0,34.0,349.26106760676294,27
1270.0,591.0,64.0,206.14479285253626,34
1280.0,726.0,82.0,306.7497300897638,28
1290.0,496.0,38.0,301.5259027795072,19
1300.0,349.0,17.0,337.7673159987939,20
1310.0,59.0,2.0,307.2245198635641,12
1320.0,118.0,17.0,249.2605884514603,26
1330.0,230.0,6.0,309.0473224756107,24
1340.0,427.0,25.0,387.2772947908114,29
1350.0,717.0,45.0,358.20675116353397,30
1360.0,954.0,65.0,357.9225059637866,30
1370.0,742.0,85.0,478.649686225367,25
1380.0,511.0,50.0,347.0575977203165,24
1390.0,223.0,17.0,326.654506525927,20
1400.0,419.0,29.0,281.33611411516193,29
1410.0,625.0,39.0,282.873701777001,30
1420.0,444.0,22.0,250.56247690693945,23
1430.0,320.0,30.0,248.35536008957075,19
1440.0,276.0,12.0,216.93628109459056,23
1450.0,529.0,25.0,264.7051638275742,31
1460.0,729.0,45.0,222.48136443431216,31
1470.0,917.0,65.0,226.40301708443585,27
1480.0,808.0,85.0,224.2969820524528,23
1490.0,485.0,43.0,221.02645377409138,18
1500.0,137.0,9.0,314.1168363849961,11
1510.0,33.0,0.0,294.4424582799205,8
1520.0,79.0,9.0,224.96331994651072,12
1530.0,230.0,19.0,258.59599987497853,21
1540.0,440.0,37.0,206.158667969509,28
1550.0,716.0,57.0,242.76890158572033,29
1560.0,761.0,77.0,315.12448855369513,27
1570.0,549.0,41.0,225.46354457697703,23
1580.0,350.0,13.0,246.7750026627311,22
1590.0,221.0,25.0,262.3524037371098,19
1600.0,423.0,45.0,243.3359243808308,27
1610.0,674.0,65.0,291.91610798532383,27
1620.0,849.0,86.0,228.23891738578413,29
1630.0,632.0,47.0,250.44414348668062,28
1640.0,424.0,15.0,231.74188155887538,22
1650.0,349.0,29.0,221.4273464815542,22
1660.0,604.0,49.0,244.71568919526914,30
1670.0,920.0,69.0,318.1203744066435,32
1680.0,1243.0,89.0,291.36923400073164,34
1690.0,1563.0,109.0,294.9887223954255,34
1700.0,1901.0,129.0,405.77835532177005,36
1710.0,1593.0,149.0,291.75878877365267,33
1720.0,1879.0,169.0,355.38180353006527,34
1730.0,2068.0,189.0,330.99671071993515,32
1740.0,1820.0,94.0,344.90395160079805,25
1750.0,1140.0,104.0,364.0682542965748,21
1760.0,405.0,1.0,318.6268427907102,15
1770.0,253.0,6.0,244.3269750751117,20
1780.0,468.0,16.0,243.84983820138245,28
1790.0,746.0,26.0,262.5709628800431,31
1800.0,920.0,36.0,204.32542979983936,25
1810.0,1204.0,46.0,203.5230912256982,30
1820.0,1301.0,56.0,249.07978372317314,24
1830.0,847.0,66.0,267.98882078650564,22
1840.0,277.0,0.0,301.91034578598413,10
1850.0,14.0,0.0,358.4822984745123,5
1860.0,96.0,0.0,250.08649522172243,15
1870.0,151.0,14.0,276.72281979505823,18
1880.0,358.0,21.0,285.7409848263088,30
1890.0,543.0,29.0,279.67283127297605,25
1900.0,759.0,38.0,335.16412236040645,26
1910.0,968.0,48.0,301.2254200994284,23
1920.0,1187.0,58.0,289.97889288121263,22
1930.0,1428.0,68.0,239.19686559176796,25
1940.0,1629.0,78.0,269.42328289333966,24
1950.0,1859.0,88.0,347.90576175756996,25
1960.0,2082.0,98.0,283.55262736491994,29
1970.0,2345.0,108.0,188.5761508949264,29
1980.0,2652.0,118.0,197.78137251347388,33
1990.0,2738.0,128.0,234.11404583405582,26
2000.0,1958.0,143.0,302.60760165778896,23
2010.0,1078.0,15.0,236.06839505784538,24
2020.0,52.0,8.0,220.45027500178395,10
2030.0,56.0,0.0,201.8740222763765,15
2040.0,36.0,1.0,236.2994988436738,10
2050.0,22.0,0.0,272.9628807623649,7
2060.0,37.0,0.0,233.2050459251388,12
2070.0,75.0,6.0,334.29679752261376,16
2080.0,260.0,16.0,398.6835337228595,25
2090.0,379.0,26.0,228.8768948543755,27
2100.0,547.0,36.0,237.74193350071576,27
2110.0,447.0,1.0,216.59587560250694,26
2120.0,315.0,12.0,230.6963584098133,21
2130.0,174.0,21.0,295.1086319764027,21
2140.0,197.0,3.0,168.42207508545565,23
2150.0,97.0,0.0,229.99159561942687,15
2160.0,44.0,0.0,246.148422339709,11
2170.0,75.0,0.0,230.85719906873243,12
2180.0,202.0,0.0,250.8760305523978,18
2190.0,416.0,5.0,186.43357080621186,26
2200.0,696.0,15.0,191.97297228369783,29
2210.0,877.0,0.0,198.46140246476685,25
2220.0,880.0,0.0,227.38523442123773,23
2230.0,599.0,0.0,224.39134635276716,20
2240.0,260.0,0.0,216.9971622798689,18
2250.0,288.0,0.0,296.8860832489194,23
2260.0,545.0,0.0,212.66879850685743,29
2270.0,869.0,0.0,191.30234112510848,36
2280.0,1225.0,0.0,250.3035445635002,36
2290.0,1444.0,1.0,251.43327767516007,34
2300.0,1436.0,0.0,328.5665829287294,26
2310.0,1679.0,0.0,279.18344736627773,27
2320.0,1447.0,2.0,295.21850535969116,24
2330.0,947.0,0.0,241.16122631466015,23
2340.0,296.0,0.0,215.34988121707775,17
2350.0,338.0,0.0,188.37974468379107,26
2360.0,626.0,0.0,226.5550465264734,32
2370.0,944.0,0.0,268.382942027431,33
2380.0,1274.0,0.0,327.8487188658924,36
2390.0,1243.0,0.0,360.05155744933506,27
2400.0,1516.0,0.0,304.9492832780412,32
2410.0,1720.0,0.0,272.02498034592764,26
2420.0,1981.0,0.0,346.6597763369381,31
2430.0,2209.0,0.0,286.30385541928564,31
2440.0,2455.0,0.0,226.12792220376096,32
2450.0,2414.0,0.0,248.51513715181292,24
2460.0,1471.0,0.0,210.1055901590982,15
2470.0,611.0,0.0,259.6252921876905,11
2480.0,48.0,0.0,230.3057605031486,10
2490.0,104.0,0.0,218.2687153508285,12
2500.0,47.0,0.0,225.26355915583684,11
2510.0,84.0,0.0,288.17017296523727,13
2520.0,197.0,0.0,169.5084393059451,17
2530.0,365.0,0.0,236.78797243582923,25
2540.0,597.0,4.0,196.79279995496938,25
2550.0,857.0,14.0,183.42694040721858,27
2560.0,1057.0,0.0,178.42082628580906,24
2570.0,1296.0,0.0,236.89967449608218,28
2580.0,1558.0,0.0,259.62101630295257,30
2590.0,1854.0,0.0,255.61060579909076,33
2600.0,1989.0,0.0,308.1294880533039,26
2610.0,2205.0,0.0,233.97456319496334,24
2620.0,2456.0,0.0,206.8816534099777,27
2630.0,2732.0,0.0,229.17555511656107,28
2640.0,2197.0,1.0,279.13530078083204,22
2650.0,1281.0,0.0,272.1250429961098,16
2660.0,234.0,0.0,291.7890237307943,15
2670.0,239.0,0.0,233.2545872318105,23
2680.0,442.0,0.0,243.96623364084257,27
2690.0,690.0,0.0,168.388036669026,32
2700.0,904.0,0.0,225.33866120703948,29
2710.0,1129.0,1.0,190.26135381459528,29
2720.0,1429.0,11.0,183.38376695381135,31
2730.0,1584.0,0.0,172.2164022213083,27
2740.0,949.0,0.0,234.3114067295832,19
2750.0,504.0,0.0,268.03421984028626,15
2760.0,54.0,0.0,283.702159109455,16
2770.0,120.0,2.0,285.97332231196236,19
2780.0,264.0,0.0,290.44178015294705,22
2790.0,525.0,0.0,202.89238960620185,32
2800.0,559.0,0.0,255.94085656042463,27
2810.0,360.0,3.0,273.4584395210836,18
2820.0,107.0,0.0,208.84329226296614,7
2830.0,8.0,0.0,303.85383044270577,1
2840.0,35.0,0.0,217.59405985762643,7
2850.0,97.0,0.0,242.74152459526027,13
2860.0,267.0,0.0,282.7460684953512,22
2870.0,533.0,0.0,244.8930584650398,29
2880.0,835.0,0.0,260.0357265529616,32
2890.0,1164.0,0.0,232.25610944411665,34
2900.0,1525.0,0.0,228.9306629757841,38
2910.0,1915.0,0.0,246.19487780908258,41
2920.0,1419.0,0.0,298.92121678542844,23
2930.0,899.0,0.0,292.2771943733001,26
2940.0,333.0,0.0,321.4668180229141,12
2950.0,123.0,0.0,272.5717386820101,20
2960.0,227.0,0.0,331.77039040209957,25
2970.0,221.0,4.0,316.43555887737836,28
2980.0,151.0,0.0,378.51426774835454,16
2990.0,29.0,0.0,330.70548836496636,9
3000.0,78.0,0.0,441.38877420733166,13
3010.0,193.0,0.0,378.4312855463353,20
3020.0,207.0,7.0,432.42754410788416,25
3030.0,262.0,17.0,346.16790797535845,22
3040.0,209.0,1.0,340.48309207082144,22
3050.0,303.0,3.0,339.3198558893615,24
3060.0,584.0,15.0,308.1779865246681,34
3070.0,797.0,35.0,315.5134796856312,29
3080.0,984.0,41.0,257.64557176429184,34
3090.0,1298.0,68.0,296.64571221252174,38
3100.0,1651.0,105.0,263.7156003379066,37
3110.0,1704.0,95.0,394.66595370325217,31
3120.0,1810.0,80.0,304.45569867952844,33
3130.0,1993.0,83.0,279.3245283294586,26
3140.0,1433.0,93.0,378.33575705028903,26
3150.0,676.0,111.0,374.14435528624404,18
3160.0,70.0,0.0,315.47448236015146,14
3170.0,236.0,0.0,329.3949417334408,23
3180.0,310.0,1.0,297.23841716779816,27
3190.0,316.0,11.0,307.59020955117035,22
3200.0,277.0,21.0,311.3755941009617,18
3210.0,126.0,0.0,303.961295113591,17
3220.0,97.0,4.0,292.8662301035481,16
3230.0,142.0,18.0,278.51126307811535,18
3240.0,225.0,0.0,275.0848514022721,24
3250.0,405.0,9.0,268.10824587124745,25
3260.0,654.0,19.0,291.77137446719246,27
3270.0,925.0,29.0,309.41836401479134,31
3280.0,1072.0,39.0,248.08338427632552,25
3290.0,825.0,49.0,240.24592457334717,22
3300.0,402.0,59.0,281.04503501655694,18
3310.0,204.0,6.0,246.4459747954044,20
3320.0,195.0,6.0,269.8709152508718,20
3330.0,192.0,16.0,225.08175287470635,24
3340.0,192.0,0.0,226.38073619571216,18
3350.0,270.0,8.0,242.27077069350688,23
3360.0,265.0,18.0,278.5348161000577,24
3370.0,136.0,0.0,213.82304517129535,13
3380.0,84.0,0.0,276.76305552981734,13
3390.0,147.0,0.0,283.2395513419664,17
3400.0,282.0,8.0,276.5322446578244,23
3410.0,512.0,18.0,251.39311410666602,28
3420.0,711.0,28.0,317.58084072252166,23
3430.0,931.0,38.0,248.88251418898844,24
3440.0,652.0,48.0,205.58115167403955,17
3450.0,291.0,0.0,274.0722305518726,13
3460.0,104.0,0.0,258.6133571909594,13
3470.0,292.0,10.0,303.8257540809928,23
3480.0,563.0,28.0,264.0382633267343,30
3490.0,702.0,30.0,253.48738255062764,26
3500.0,772.0,42.0,231.7933806712522,26
3510.0,471.0,0.0,260.35008774022657,21
3520.0,85.0,1.0,312.2082654464714,11
3530.0,65.0,0.0,338.60783374239924,13
3540.0,33.0,3.0,337.27561064453073,11
3550.0,82.0,0.0,331.6207077765641,17
3560.0,70.0,9.0,356.8834980677214,13
3570.0,67.0,4.0,290.63437378662996,14
3580.0,126.0,10.0,303.2890464648396,13
3590.0,308.0,27.0,343.0709487388581,24
3600.0,520.0,52.0,267.9314958394091,27
