step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,cluster_11187974841_11245328371_11245328374_11494414328_#8more_stopped,cluster_11187974841_11245328371_11245328374_11494414328_#8more_accumulated_waiting_time,cluster_11187974841_11245328371_11245328374_11494414328_#8more_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,1,0.0,0.0,1.9693205229938031,0,0.0,0.11560967362616212,0,0.0
10.0,1,0.0,0.0,7.704037068156441,1,0.0,0.10473478683685992,1,0.0
15.0,2,1.0,0.08333333333333333,10.359548677038143,2,1.0,0.2071850024441439,2,1.0
20.0,3,12.0,0.8,8.444152587010672,3,12.0,0.1510527608912187,3,12.0
25.0,5,37.0,1.9473684210526316,8.705076913585135,5,37.0,0.16941849541926912,5,37.0
30.0,0,0.0,0.0,12.58839646955116,0,28.0,0.34156662319079145,0,28.0
35.0,1,0.0,0.0,12.542404604310908,1,0.0,0.4126940633789258,1,0.0
40.0,3,3.0,0.11538461538461539,12.668807323998372,1,3.0,0.36961038434985466,1,3.0
45.0,6,21.0,0.7777777777777778,12.886426719250426,5,21.0,0.30672913001885665,5,21.0
50.0,5,46.0,1.7037037037037037,13.450161240484702,5,46.0,0.3258358016979673,5,46.0
55.0,0,0.0,0.0,13.570129254484355,0,24.0,0.44259675114265956,0,24.0
60.0,4,10.0,0.3125,11.55327106460178,1,7.0,0.33880098289073657,1,7.0
65.0,4,14.0,0.4117647058823529,11.313653506682092,2,7.0,0.2876720283313461,2,7.0
70.0,6,39.0,1.054054054054054,10.757861178349915,4,22.0,0.262932733074552,4,22.0
75.0,4,12.0,0.3076923076923077,11.176841177034989,1,15.0,0.3810681222911274,1,15.0
80.0,9,36.0,0.8780487804878049,11.908066423202294,5,15.0,0.2725304767563839,5,15.0
85.0,7,15.0,0.3409090909090909,10.538626693054484,4,18.0,0.2152618256933763,4,18.0
90.0,9,39.0,0.9069767441860465,9.22176645926752,4,27.0,0.1924816039241757,4,27.0
95.0,10,47.0,1.0930232558139534,10.575626917831604,4,21.0,0.2657159299190289,4,21.0
