step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,cluster_11187974841_11245328371_11245328374_11494414328_#8more_stopped,cluster_11187974841_11245328371_11245328374_11494414328_#8more_accumulated_waiting_time,cluster_11187974841_11245328371_11245328374_11494414328_#8more_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,1,0.0,0.0,3.5956647553830408,0,0.0,0.12171211630571632,0,0.0
10.0,1,0.0,0.0,7.535274544926834,1,0.0,0.10581942548357474,1,0.0
15.0,1,1.0,0.08333333333333333,8.491981466055913,1,1.0,0.14696409355145026,1,1.0
20.0,4,14.0,1.0,8.606127850674316,4,14.0,0.20529844425942267,4,14.0
25.0,4,34.0,2.0,8.793835882601346,4,34.0,0.20082757682291094,4,34.0
30.0,0,0.0,0.0,11.740790471619938,0,11.0,0.41798099466078165,0,11.0
35.0,3,1.0,0.037037037037037035,12.520198056315664,2,1.0,0.37981428680634843,2,1.0
40.0,3,4.0,0.14285714285714285,13.609284512722967,2,5.0,0.4279981558105043,2,5.0
45.0,6,22.0,0.7857142857142857,11.903268631779722,5,23.0,0.2805520949831287,5,23.0
50.0,3,6.0,0.2,11.776348540189876,2,9.0,0.3406433240603608,2,9.0
55.0,4,11.0,0.3548387096774194,13.081824165001503,2,14.0,0.3927586269967727,2,14.0
60.0,3,12.0,0.34285714285714286,12.730410889525022,1,18.0,0.3414725858975318,1,18.0
65.0,2,5.0,0.13157894736842105,13.052620398477337,2,13.0,0.2987575406740581,2,13.0
70.0,5,24.0,0.6153846153846154,14.460870368732884,4,30.0,0.4053939032815114,4,30.0
75.0,3,9.0,0.21428571428571427,12.565170502991455,2,18.0,0.385821070411411,2,18.0
80.0,13,52.0,1.2093023255813953,10.516190345276044,9,34.0,0.21691372976645054,9,34.0
85.0,14,76.0,1.6521739130434783,9.667992977078592,7,52.0,0.18351040169753324,7,52.0
