step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,cluster_11187974841_11245328371_11245328374_11494414328_#8more_stopped,cluster_11187974841_11245328371_11245328374_11494414328_#8more_accumulated_waiting_time,cluster_11187974841_11245328371_11245328374_11494414328_#8more_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,1,0.0,0.0,6.635308627557242,0,0.0,0.5944082236764,0,0.0
10.0,1,0.0,0.0,11.48845943583577,1,0.0,0.3869636336270648,1,0.0
15.0,0,0.0,0.0,12.659318172625822,0,0.0,0.5174675599601142,0,0.0
20.0,1,3.0,0.2,12.183865310620229,1,3.0,0.25349769243753223,1,3.0
25.0,1,2.0,0.10526315789473684,12.842104074816616,1,2.0,0.2456351543206498,1,2.0
30.0,2,10.0,0.5555555555555556,13.179382435086792,2,10.0,0.12089297544072411,2,10.0
35.0,2,1.0,0.043478260869565216,10.662390757108048,1,1.0,0.1802237372852545,1,1.0
40.0,4,6.0,0.23076923076923078,11.014184746763002,2,5.0,0.2596342714692008,2,5.0
45.0,3,14.0,0.5185185185185185,12.753921078183442,2,13.0,0.39158727724895653,2,13.0
50.0,0,0.0,0.0,15.032717178608548,0,0.0,0.5053866794917543,0,0.0
55.0,2,5.0,0.15625,15.532016196203854,2,5.0,0.48848076811083424,2,5.0
60.0,1,0.0,0.0,14.678567492301726,0,1.0,0.5099201982943815,0,1.0
65.0,2,5.0,0.15151515151515152,14.334394923826693,1,0.0,0.5068052682712493,1,0.0
70.0,1,5.0,0.14705882352941177,14.805244474436272,1,5.0,0.5208229741728665,1,5.0
75.0,1,0.0,0.0,12.530288917178522,1,0.0,0.3686811162405425,1,0.0
80.0,4,9.0,0.23684210526315788,11.491798501691346,4,11.0,0.285398814433031,4,11.0
85.0,2,1.0,0.02564102564102564,12.075982753258739,0,6.0,0.28983613459404034,0,6.0
90.0,6,18.0,0.42857142857142855,11.278358920267623,3,11.0,0.21130187998578434,3,11.0
95.0,5,24.0,0.5581395348837209,12.0358266805467,4,27.0,0.19450620930871915,4,27.0
100.0,4,10.0,0.23809523809523808,12.29506803399352,3,22.0,0.22374780011764173,3,22.0
105.0,5,13.0,0.3023255813953488,12.975636762834917,5,27.0,0.25202614747619484,5,27.0
110.0,7,42.0,0.9333333333333333,13.24035748105019,7,57.0,0.25659968285253737,7,57.0
115.0,13,94.0,2.1363636363636362,12.88867149506767,12,108.0,0.2118286755910381,12,108.0
120.0,15,150.0,3.658536585365854,9.89771098703421,13,163.0,0.12672847269774723,13,163.0
125.0,10,92.0,2.3,8.178954349929871,8,156.0,0.12484744536336416,8,156.0
130.0,11,43.0,1.0238095238095237,8.646885045075726,7,114.0,0.18199733238653001,7,114.0
135.0,11,73.0,1.5869565217391304,10.007236027449018,8,97.0,0.15930502993351678,8,97.0
140.0,5,19.0,0.40425531914893614,10.879898822916337,2,64.0,0.16797655618330695,2,64.0
145.0,9,45.0,0.8823529411764706,12.1714906424238,6,59.0,0.18954089729462353,6,59.0
150.0,9,62.0,1.2653061224489797,13.153510958784896,5,80.0,0.25934487616742585,5,80.0
155.0,4,34.0,0.7083333333333334,14.37298458906372,2,85.0,0.36824852031454025,2,85.0
160.0,7,28.0,0.5833333333333334,13.562485602477913,4,67.0,0.3175452051304322,4,67.0
