step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,cluster_11187974841_11245328371_11245328374_11494414328_#8more_stopped,cluster_11187974841_11245328371_11245328374_11494414328_#8more_accumulated_waiting_time,cluster_11187974841_11245328371_11245328374_11494414328_#8more_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,1,0.0,0.0,5.7498485243006145,0,0.0,0.2431363673942009,0,0.0
10.0,1,0.0,0.0,9.600413933263571,1,0.0,0.21254165615394047,1,0.0
15.0,1,0.0,0.0,12.48050678726191,1,0.0,0.3336186352350655,1,0.0
20.0,0,0.0,0.0,12.009820632119531,0,0.0,0.3228899023365572,0,0.0
25.0,3,8.0,0.42105263157894735,13.056886287003772,3,8.0,0.2623637613264444,3,8.0
30.0,4,23.0,1.0454545454545454,13.25740601863958,4,23.0,0.14161944605687762,4,23.0
35.0,2,2.0,0.08333333333333333,11.37698336899633,1,13.0,0.2497142412427142,1,13.0
40.0,4,13.0,0.5909090909090909,13.819389450699354,2,12.0,0.5303010119573377,2,12.0
45.0,4,8.0,0.2857142857142857,13.379487450876715,0,0.0,0.5257146567579617,0,0.0
50.0,3,23.0,0.7666666666666667,14.58087917507161,1,5.0,0.4473356043896883,1,5.0
55.0,5,32.0,1.0666666666666667,13.251302220141564,1,3.0,0.3902288563671505,1,3.0
60.0,7,61.0,1.8484848484848484,10.325600172783622,3,17.0,0.19731225574140615,3,17.0
65.0,4,60.0,1.8181818181818181,10.999988762255466,0,0.0,0.44231127404781617,0,0.0
70.0,6,87.0,2.4166666666666665,11.50461694543317,1,3.0,0.4730388981436832,1,3.0
75.0,6,112.0,2.9473684210526314,11.587296020175307,0,0.0,0.43715401701421974,0,0.0
80.0,11,155.0,3.6904761904761907,11.590774519128395,2,4.0,0.39837427692559013,2,4.0
85.0,14,214.0,4.976744186046512,11.617179843952016,3,14.0,0.3729173787416335,3,14.0
90.0,15,281.0,6.108695652173913,10.416402264324066,3,27.0,0.22082643527498172,3,27.0
95.0,16,356.0,8.090909090909092,9.318016346710731,5,48.0,0.18144101544513172,5,48.0
100.0,15,370.0,7.708333333333333,9.973706790680106,2,17.0,0.28987066909609865,2,17.0
105.0,13,229.0,4.872340425531915,10.588791892341584,4,84.0,0.3291524771325576,4,84.0
110.0,8,111.0,2.4130434782608696,10.04867283624591,2,134.0,0.3464930257550684,2,134.0
115.0,7,22.0,0.46808510638297873,11.511863230044561,3,138.0,0.38026720902104155,3,138.0
120.0,8,50.0,1.0638297872340425,10.37006603181883,2,134.0,0.3541426204033654,2,134.0
125.0,12,82.0,1.8636363636363635,8.190516602333725,4,148.0,0.22646941516309704,4,148.0
130.0,13,83.0,1.930232558139535,8.331176513320084,2,13.0,0.2973068413842633,2,13.0
135.0,11,65.0,1.4130434782608696,7.345211401657761,3,72.0,0.15308865424914064,3,72.0
140.0,10,59.0,1.2291666666666667,7.967856917253786,6,90.0,0.12028267176437211,6,90.0
145.0,7,32.0,0.6274509803921569,9.371592535711454,3,89.0,0.177459969979436,3,89.0
150.0,10,67.0,1.2884615384615385,9.890475876740794,3,98.0,0.2503192441669151,3,98.0
155.0,13,122.0,2.3461538461538463,10.433086983373908,3,111.0,0.31994604535741905,3,111.0
160.0,18,178.0,3.2962962962962963,10.704117983008748,5,92.0,0.3003337721398636,5,92.0
165.0,16,135.0,2.4107142857142856,9.576682464233913,3,101.0,0.31216051254472615,3,101.0
170.0,18,117.0,2.0892857142857144,8.807275480874736,5,107.0,0.28354573947683737,5,107.0
175.0,15,118.0,2.107142857142857,8.707275471902427,3,100.0,0.3139216867677103,3,100.0
180.0,18,122.0,2.1403508771929824,10.04698670341836,5,19.0,0.2904176555402166,5,19.0
185.0,19,163.0,2.810344827586207,10.59713851949047,3,21.0,0.35049793586423167,3,21.0
190.0,21,237.0,4.157894736842105,10.323390821332133,2,21.0,0.36628101519484846,2,21.0
